date,title,location,price,product_type,link
2025-09-02 23:51:23,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Online | Si,"João Pessoa, PB, 58068200",R$ 54.993,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-online-si-1432370950
2025-09-02 23:51:20,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Online | Si,"João Pessoa, PB, 58067073",R$ 61.997,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-online-si-1432370946
2025-09-02 23:51:16,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58066215",R$ 71.654,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432370906
2025-09-02 23:51:13,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58066131",R$ 74.146,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371201
2025-09-02 23:51:09,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58076633",R$ 71.715,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371196
2025-09-02 23:51:05,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58067325",R$ 87.819,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371180
2025-09-02 23:51:02,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58081420",R$ 77.043,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371179
2025-09-02 23:50:54,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Online | Si,"João Pessoa, PB, 58083096",R$ 52.902,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-online-si-1432371178
2025-09-02 23:50:51,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58066148",R$ 74.146,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371177
2025-09-02 23:50:49,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58081420",R$ 84.892,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371171
2025-09-02 23:50:46,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58066101",R$ 75.305,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371169
2025-09-02 23:50:43,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58062338",R$ 65.291,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371166
2025-09-02 23:50:40,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Online | Si,"João Pessoa, PB, 58065000",R$ 71.715,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-online-si-1432371161
2025-09-02 23:50:37,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58076662",R$ 61.842,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371158
2025-09-02 23:50:34,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Online | Si,"João Pessoa, PB, 58068200",R$ 71.080,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-online-si-1432371141
2025-09-02 23:50:31,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58066218",R$ 65.270,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432370945
2025-09-02 23:50:28,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58080020",R$ 69.934,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432370928
2025-09-02 23:50:24,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Online | Si,"João Pessoa, PB, 58065075",R$ 78.611,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-online-si-1432371228
2025-09-02 23:50:21,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58066215",R$ 54.515,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371224
2025-09-02 23:50:17,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58067242",R$ 76.809,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371220
2025-09-02 23:50:15,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58069469",R$ 69.361,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371219
2025-09-02 23:50:12,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Online | Si,"João Pessoa, PB, 58068200",R$ 64.787,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-online-si-1432371208
2025-09-02 23:50:09,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58069472",R$ 82.550,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371205
2025-09-02 23:50:05,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Online | Si,"João Pessoa, PB, 58066114",R$ 104.889,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-online-si-1432371203
2025-09-02 23:50:02,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"PB, 58000000",R$ 72.988,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371199
2025-09-02 23:50:00,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58083420",R$ 62.195,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371193
2025-09-02 23:49:57,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Online | Si,"João Pessoa, PB, 58062078",R$ 41.415,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-online-si-1432371192
2025-09-02 23:49:55,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Online | Si,"João Pessoa, PB, 58063018",R$ 58.067,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-online-si-1432371188
2025-09-02 23:49:52,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58062304",R$ 114.000,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371173
2025-09-02 23:49:48,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58068343",R$ 72.988,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371164
2025-09-02 23:49:45,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Online | Si,"João Pessoa, PB, 58052569",R$ 91.754,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-online-si-1432371162
2025-09-02 23:49:43,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58066145",R$ 61.886,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432370954
2025-09-02 23:49:40,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58067145",R$ 42.273,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371239
2025-09-02 23:49:38,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58067023",R$ 64.345,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371223
2025-09-02 23:49:35,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58062099",R$ 66.151,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371222
2025-09-02 23:49:32,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Online | Si,"João Pessoa, PB, 58068063",R$ 75.392,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-online-si-1432371221
2025-09-02 23:49:30,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58067020",R$ 95.407,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371198
2025-09-02 23:49:28,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58069472",R$ 67.641,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371183
2025-09-02 23:49:25,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58068237",R$ 82.550,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371317
2025-09-02 23:49:22,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58062030",R$ 79.081,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371567
2025-09-02 23:49:18,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58066118",R$ 84.337,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371565
2025-09-02 23:49:15,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Online | Si,"João Pessoa, PB, 58067331",R$ 69.934,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-online-si-1432371552
2025-09-02 23:49:12,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58069472",R$ 70.507,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371586
2025-09-02 23:49:08,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58080020",R$ 77.622,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371570
2025-09-02 23:49:05,Oportunidade Única em JOAO PESSOA - PB | Tipo: Apartamento | Negociação: Venda Direta Onli,"João Pessoa, PB, 58062349",R$ 75.884,Venda,https://pb.olx.com.br/paraiba/imoveis/oportunidade-unica-em-joao-pessoa-pb-tipo-apartamento-negociacao-venda-direta-onli-1432371568
